Var1,var2
HI_lag4,UNRATE_lag8
HI_lag4,UNRATE_lag9
HI_lag4,UNRATE_lag10
HI_lag5,UNRATE_lag1
HI_lag5,UNRATE_lag2
HI_lag5,UNRATE_lag3
HI_lag5,UNRATE_lag4
HI_lag5,UNRATE_lag5
HI_lag5,UNRATE_lag6
HI_lag5,UNRATE_lag7
HI_lag5,UNRATE_lag8
HI_lag5,UNRATE_lag9
HI_lag5,UNRATE_lag10
HI_lag6,UNRATE_lag1
HI_lag6,UNRATE_lag2
HI_lag6,UNRATE_lag3
HI_lag6,UNRATE_lag4
HI_lag6,UNRATE_lag5
HI_lag6,UNRATE_lag6
HI_lag6,UNRATE_lag7
HI_lag6,UNRATE_lag8
HI_lag6,UNRATE_lag9
HI_lag6,UNRATE_lag10
HI_lag7,UNRATE_lag1
HI_lag7,UNRATE_lag2
HI_lag7,UNRATE_lag3
HI_lag7,UNRATE_lag4
HI_lag7,UNRATE_lag5
HI_lag7,UNRATE_lag6
HI_lag7,UNRATE_lag7
HI_lag7,UNRATE_lag8
HI_lag7,UNRATE_lag9
HI_lag7,UNRATE_lag10
HI_lag8,UNRATE_lag1
HI_lag8,UNRATE_lag2
HI_lag8,UNRATE_lag3
HI_lag8,UNRATE_lag4
HI_lag8,UNRATE_lag5
HI_lag8,UNRATE_lag6
HI_lag8,UNRATE_lag7
HI_lag8,UNRATE_lag8
HI_lag8,UNRATE_lag9
HI_lag8,UNRATE_lag10
HI_lag9,UNRATE_lag1
HI_lag9,UNRATE_lag2
HI_lag9,UNRATE_lag3
HI_lag9,UNRATE_lag4
HI_lag9,UNRATE_lag5
HI_lag9,UNRATE_lag6
HI_lag9,UNRATE_lag7
HI_lag9,UNRATE_lag8
HI_lag9,UNRATE_lag9
HI_lag9,UNRATE_lag10
HI_lag10,UNRATE_lag1
HI_lag10,UNRATE_lag2
HI_lag10,UNRATE_lag3
HI_lag10,UNRATE_lag4
HI_lag10,UNRATE_lag5
HI_lag10,UNRATE_lag6
HI_lag10,UNRATE_lag7
HI_lag10,UNRATE_lag8
HI_lag10,UNRATE_lag9
HI_lag10,UNRATE_lag10
INDPRO_lag1,UNRATE_lag1
INDPRO_lag1,UNRATE_lag2
INDPRO_lag1,UNRATE_lag3
INDPRO_lag1,UNRATE_lag4
INDPRO_lag1,UNRATE_lag5
INDPRO_lag1,UNRATE_lag6
INDPRO_lag1,UNRATE_lag7
INDPRO_lag1,UNRATE_lag8
INDPRO_lag1,UNRATE_lag9
INDPRO_lag1,UNRATE_lag10
INDPRO_lag2,UNRATE_lag1
INDPRO_lag2,UNRATE_lag2
INDPRO_lag2,UNRATE_lag3
INDPRO_lag2,UNRATE_lag4
INDPRO_lag2,UNRATE_lag5
INDPRO_lag2,UNRATE_lag6
INDPRO_lag2,UNRATE_lag7
INDPRO_lag2,UNRATE_lag8
INDPRO_lag2,UNRATE_lag9
INDPRO_lag2,UNRATE_lag10
INDPRO_lag3,UNRATE_lag1
INDPRO_lag3,UNRATE_lag2
INDPRO_lag3,UNRATE_lag3
INDPRO_lag3,UNRATE_lag4
INDPRO_lag3,UNRATE_lag5
INDPRO_lag3,UNRATE_lag6
INDPRO_lag3,UNRATE_lag7
INDPRO_lag3,UNRATE_lag8
INDPRO_lag3,UNRATE_lag9
INDPRO_lag3,UNRATE_lag10
INDPRO_lag4,UNRATE_lag1
INDPRO_lag4,UNRATE_lag2
INDPRO_lag4,UNRATE_lag3
INDPRO_lag4,UNRATE_lag4
INDPRO_lag4,UNRATE_lag5
INDPRO_lag4,UNRATE_lag6
INDPRO_lag4,UNRATE_lag7
INDPRO_lag4,UNRATE_lag8
INDPRO_lag4,UNRATE_lag9
INDPRO_lag4,UNRATE_lag10
INDPRO_lag5,UNRATE_lag1
INDPRO_lag5,UNRATE_lag2
INDPRO_lag5,UNRATE_lag3
INDPRO_lag5,UNRATE_lag4
INDPRO_lag5,UNRATE_lag5
INDPRO_lag5,UNRATE_lag6
INDPRO_lag5,UNRATE_lag7
INDPRO_lag5,UNRATE_lag8
INDPRO_lag5,UNRATE_lag9
INDPRO_lag5,UNRATE_lag10
INDPRO_lag6,UNRATE_lag1
INDPRO_lag6,UNRATE_lag2
INDPRO_lag6,UNRATE_lag3
INDPRO_lag6,UNRATE_lag4
INDPRO_lag6,UNRATE_lag5
INDPRO_lag6,UNRATE_lag6
INDPRO_lag6,UNRATE_lag7
INDPRO_lag6,UNRATE_lag8
INDPRO_lag6,UNRATE_lag9
INDPRO_lag6,UNRATE_lag10
INDPRO_lag7,UNRATE_lag1
INDPRO_lag7,UNRATE_lag2
INDPRO_lag7,UNRATE_lag3
INDPRO_lag7,UNRATE_lag4
INDPRO_lag7,UNRATE_lag5
INDPRO_lag7,UNRATE_lag6
INDPRO_lag7,UNRATE_lag7
INDPRO_lag7,UNRATE_lag8
INDPRO_lag7,UNRATE_lag9
INDPRO_lag7,UNRATE_lag10
INDPRO_lag8,UNRATE_lag1
INDPRO_lag8,UNRATE_lag2
INDPRO_lag8,UNRATE_lag3
INDPRO_lag8,UNRATE_lag4
INDPRO_lag8,UNRATE_lag5
INDPRO_lag8,UNRATE_lag6
INDPRO_lag8,UNRATE_lag7
INDPRO_lag8,UNRATE_lag8
INDPRO_lag8,UNRATE_lag9
INDPRO_lag8,UNRATE_lag10
INDPRO_lag9,UNRATE_lag1
INDPRO_lag9,UNRATE_lag2
INDPRO_lag9,UNRATE_lag3
